m_date,air_temp
2019-05-01 12:51,15
2019-05-01 12:52,13
2019-05-01 12:53,12
2019-05-01 12:54,15
2019-05-01 12:55,13
2019-05-01 12:56,14
2019-05-01 12:57,13
2019-05-01 12:58,17
2019-05-01 12:59,12
2019-05-01 13:0,11
2019-05-01 13:1,7
2019-05-01 13:2,16
2019-05-01 13:3,13
2019-05-01 13:4,8
2019-05-01 13:5,8
2019-05-01 13:6,8
2019-05-01 13:7,13
2019-05-01 13:8,12
2019-05-01 13:9,12
2019-05-01 13:10,11
2019-05-01 13:11,7
2019-05-01 13:12,12
2019-05-01 13:13,12
2019-05-01 13:14,15
2019-05-01 13:15,15
2019-05-01 13:16,12
2019-05-01 13:17,13
2019-05-01 13:18,14
2019-05-01 13:19,12
2019-05-01 13:20,11
2019-05-01 13:21,12
2019-05-01 13:22,8
2019-05-01 13:23,15
2019-05-01 13:24,10
2019-05-01 13:25,10
2019-05-01 13:26,9
2019-05-01 13:27,9
2019-05-01 13:28,9
2019-05-01 13:30,8
2019-05-01 13:31,6
2019-05-01 13:32,14
2019-05-01 13:33,7
2019-05-01 13:34,7
2019-05-01 13:35,8
2019-05-01 13:36,8
2019-05-01 13:37,16
2019-05-01 13:38,10
2019-05-01 13:39,9
2019-05-01 13:40,8
2019-05-01 13:41,10
2019-05-01 13:42,7
2019-05-01 13:43,16
2019-05-01 13:44,14
2019-05-01 13:45,14
2019-05-01 13:46,13
2019-05-01 13:47,13
2019-05-01 13:48,13
2019-05-01 13:50,13
2019-05-01 17:31,5
2019-05-01 17:32,5
2019-05-01 17:33,4
2019-05-01 17:34,10
2019-05-01 17:35,5
2019-05-01 17:36,6
2019-05-01 17:37,5
2019-05-01 17:38,7
2019-05-01 17:39,8
2019-05-01 17:40,7
2019-05-01 17:41,5
2019-05-01 17:42,6
2019-05-01 17:43,7
2019-05-01 17:44,9
2019-05-01 17:45,3
2019-05-01 17:46,7
2019-05-01 17:47,1
2019-05-01 17:48,5
2019-05-01 17:49,2
2019-05-01 17:50,4
2019-05-01 17:51,5
2019-05-01 17:52,3
2019-05-01 17:53,3
2019-05-01 17:54,6
2019-05-01 17:55,5
2019-05-01 17:56,5
2019-05-01 17:57,2
2019-05-01 17:58,4
2019-05-01 17:59,4
2019-05-01 18:0,6
2019-05-01 18:1,8
2019-05-01 18:2,5
2019-05-01 18:3,7
2019-05-01 18:4,9
2019-05-01 18:5,5
2019-05-01 18:6,8
2019-05-01 18:7,3
2019-05-01 18:8,5
2019-05-01 18:9,7
2019-05-01 18:10,7
2019-05-01 18:11,0
2019-05-01 18:12,4
2019-05-01 18:13,2
2019-05-01 18:14,0
2019-05-01 18:15,0
2019-05-01 18:18,0
2019-05-01 18:19,2
2019-05-01 18:21,0
2019-05-01 18:22,2
2019-05-01 18:23,3
2019-05-01 18:24,10
2019-05-01 18:25,6
2019-05-01 18:26,4
2019-05-01 18:27,2
2019-05-01 18:28,3
2019-05-01 18:29,3
2019-05-01 18:30,6
2019-05-01 18:31,5
2019-05-01 18:32,9
2019-05-01 18:33,4
2019-05-01 18:34,3
2019-05-01 18:35,3
2019-05-01 18:36,5
2019-05-01 18:37,7
2019-05-01 18:38,1
2019-05-01 18:39,1
2019-05-01 18:41,0
2019-05-01 18:42,4
2019-05-01 18:44,1
2019-05-01 18:46,2
2019-05-01 18:48,4
2019-05-01 18:49,3
2019-05-01 18:50,2
2019-05-01 18:51,2
2019-05-01 18:52,1
2019-05-01 18:53,1
2019-05-01 18:54,1
2019-05-01 18:55,1
2019-05-01 18:56,2
2019-05-01 18:57,2
2019-05-01 18:58,4
2019-05-01 18:59,2
2019-05-01 19:0,2
2019-05-01 19:1,2
2019-05-01 19:2,0
2019-05-01 19:3,5
2019-05-01 19:4,1
2019-05-01 19:5,1
2019-05-01 19:6,1
2019-05-01 19:7,1
2019-05-01 19:8,1
2019-05-01 19:9,1
2019-05-01 19:10,0
2019-05-01 19:11,3
2019-05-01 19:12,5
2019-05-01 19:13,2
2019-05-01 19:14,1
2019-05-01 19:15,0
2019-05-01 19:16,2
2019-05-01 19:17,1
2019-05-01 19:18,2
2019-05-01 19:19,0
2019-05-01 19:21,1
2019-05-01 19:24,1
2019-05-01 19:28,1
2019-05-01 19:31,1
2019-05-01 19:32,3
2019-05-01 19:34,0
2019-05-01 19:36,0
2019-05-02 5:20,1
2019-05-02 5:22,1
2019-05-02 5:28,1
2019-05-02 5:30,0
2019-05-02 5:31,1
2019-05-02 5:32,1
2019-05-02 5:35,0
2019-05-02 5:38,1
2019-05-02 5:40,3
2019-05-02 5:41,1
2019-05-02 5:42,1
2019-05-02 5:48,1
2019-05-02 5:51,1
2019-05-02 5:52,1
2019-05-02 5:53,2
2019-05-02 5:54,0
2019-05-02 5:55,2
2019-05-02 5:56,1
2019-05-02 5:58,3
2019-05-02 5:59,1
2019-05-02 6:1,0
2019-05-02 6:2,3
2019-05-02 6:3,0
2019-05-02 6:4,1
2019-05-02 6:5,2
2019-05-02 6:6,1
2019-05-02 6:8,2
2019-05-02 6:9,0
2019-05-02 6:10,0
2019-05-02 6:11,1
2019-05-02 6:12,1
2019-05-02 6:15,1
2019-05-02 6:20,1
2019-05-02 6:23,2
2019-05-02 6:24,3
2019-05-02 6:28,3
2019-05-02 6:29,0
2019-05-02 6:31,2
2019-05-02 6:32,1
2019-05-02 6:33,1
2019-05-02 6:34,2
2019-05-02 6:35,1
2019-05-02 6:36,3
2019-05-02 6:37,1
2019-05-02 6:38,1
2019-05-02 6:39,1
2019-05-02 6:41,1
2019-05-02 6:42,3
2019-05-02 6:43,4
2019-05-02 6:48,2
2019-05-02 6:49,0
2019-05-02 6:51,2
2019-05-02 6:52,1
2019-05-02 6:54,2
2019-05-02 6:56,2
2019-05-02 6:57,2
2019-05-02 7:1,0
2019-05-02 7:2,1
2019-05-02 7:3,1
2019-05-02 7:4,5
2019-05-02 7:5,0
2019-05-02 7:6,2
2019-05-02 7:7,1
2019-05-02 7:8,2
2019-05-02 7:9,1
2019-05-02 7:10,3
2019-05-02 7:13,2
2019-05-02 7:14,1
2019-05-02 7:15,1
2019-05-02 7:16,1
2019-05-02 7:17,2
2019-05-02 7:18,2
2019-05-02 7:19,2
2019-05-02 7:21,1
2019-05-02 7:24,1
2019-05-02 7:25,2
2019-05-02 7:26,1
2019-05-02 7:28,0
2019-05-02 7:29,3
2019-05-02 7:32,0
2019-05-02 7:34,1
2019-05-02 7:35,2
2019-05-02 7:36,0
2019-05-02 7:37,2
2019-05-02 7:38,3
2019-05-02 7:39,1
2019-05-02 7:40,1
2019-05-02 7:46,1
